Apellido,Total
BENAVENTE,5307
PARIS,5303
JULIA,5302
FERRERA,5300
VALDERRAMA,5299
VELASQUEZ,5297
GASPAR,5296
LILLO,5285
DE HARO,5284
FLORIDO,5283
CHICA,5267
NOGUEIRA,5263
ANAYA,5260
CASALS,5243
YANG,5213
MORATO,5199
FERRERAS,5197
ELIAS,5179
CALZADA,5161
RECHE,5158
GOMES,5153
GOMIS,5150
CASARES,5147
URRUTIA,5147
CARDOSO,5140
PEREDA,5139
HIGUERAS,5136
DORTA,5129
MERIDA,5127
DIOP,5126
LORCA,5124
DE LA IGLESIA,5111
JOVER,5108
PAJARES,5106
MONTALVO,5104
UGARTE,5098
CUETO,5092
TUR,5079
DAZA,5075
ARRIETA,5073
AGULLO,5073
VERDEJO,5071
COELLO,5071
JORDA,5066
GALLO,5062
BARBOSA,5061
CABRERO,5055
LARREA,5053
CONEJO,5046
SALAMANCA,5046
DE LA PEÑA,5040
DENIZ,5039
ESCALANTE,5029
BERNARDO,5017
CANDELA,5016
MATO,5015
VARA,5014
CASERO,5014
PUEYO,5000
ALBALADEJO,4998
ROPERO,4988
DEL AMO,4988
VILLALOBOS,4987
BRIONES,4974
ASENJO,4973
MATIAS,4952
CERRO,4941
RIUS,4940
BARRETO,4940
GABARRE,4933
BENAVENT,4925
ARAGONES,4921
BAYON,4920
SIMO,4919
CORBACHO,4917
LLORCA,4907
QUINTANILLA,4907
MAESTRO,4901
PALOMAR,4897
MARTEL,4890
ESPARZA,4887
GARAY,4872
PAGES,4870
BARAHONA,4865
TORRADO,4864
ESPINAR,4862
PUGA,4858
GARMENDIA,4856
DE LA VEGA,4856
FERRANDEZ,4854
ZUÑIGA,4850
BARRIGA,4836
VADILLO,4832
MADRIGAL,4832
TORMO,4814
HUANG,4814
CASANOVAS,4813
TRIVIÑO,4805
MONJE,4803
BUITRAGO,4799
IRIARTE,4796
POPA,4796
HIERRO,4789
MONTALBAN,4780
MILAN,4776
PINTADO,4776
DONOSO,4774
DE ANDRES,4773
SALIDO,4772
VILANOVA,4771
CAPILLA,4764
MANCEBO,4764
SANABRIA,4761
DE PABLO,4760
AYLLON,4748
CABO,4748
BOU,4746
DE LA CALLE,4743
GUARDIA,4738
LARRAÑAGA,4728
MENESES,4724
DONAIRE,4724
BLAS,4723
ANGUITA,4721
CADENAS,4712
PITA,4709
MARTINS,4706
SABATE,4700
RAMA,4699
TORRENT,4685
BUSTO,4680
POP,4677
POZA,4669
MOLLA,4665
PORCEL,4658
CARPINTERO,4652
CASTILLEJO,4633
VALLADARES,4631
PICON,4627
PORTERO,4624
GIRALDEZ,4624
ANTEQUERA,4623
MONREAL,4623
MIQUEL,4620
VALENTIN,4612
AMIGO,4611
DALMAU,4608
ZORRILLA,4600
DE JESUS,4599
GREGORIO,4595
ALBARRAN,4578
CISNEROS,4576
CLAVIJO,4575
ANGEL,4570
MEDIAVILLA,4567
VAL,4567
SARABIA,4567
CASCALES,4566
RABADAN,4560
CORTIJO,4560
PORTA,4549
PAYA,4529
RODA,4526
CAÑADA,4516
CUERVO,4512
FERNANDES,4511
PARRAGA,4509
GARROTE,4505
COMPANY,4494
PELAYO,4493
PALMERO,4491
TERRON,4490
NORIEGA,4489
RONCERO,4481
BLANCH,4479
MIGUELEZ,4479
ALBERDI,4478
PIÑOL,4477
AGUIAR,4473
GEA,4467
MONTESDEOCA,4466
JIANG,4461
ESCRIVA,4457
UTRERA,4457
GINES,4452
CARBAJO,4445
JODAR,4440
ALMANSA,4437
POZUELO,4435
DE FRUTOS,4434
BERLANGA,4433
MONTAÑES,4430
PORTO,4417
BAYO,4402
SILES,4399
LLUCH,4394
PUCHE,4391
REGUERA,4386
PRIEGO,4374
JUSTO,4368
ESCALONA,4366
AGUERA,4365
JIN,4362
MICO,4356
TENORIO,4350
MORALEDA,4348
GRANDA,4345
RAPOSO,4328
CARABALLO,4327
ROA,4327
TRIGUERO,4322
HENRIQUEZ,4322
MONROY,4318
CERRATO,4315
ARCAS,4312
MORGADO,4310
MORANTE,4309
MILLA,4302
ZAMBRANA,4300
CABAÑAS,4293
PEÑAS,4292
MORELL,4289
BERTRAN,4275
INFANTES,4271
GAZQUEZ,4269
REGUEIRO,4265
BOLIVAR,4259
PAN,4255
MURO,4251
CEPEDA,4248
MAQUEDA,4245
ABELLA,4239
VACAS,4238
URIBE,4235
POMARES,4234
QUEROL,4232
CONCEPCION,4231
CASTRILLO,4231
HUSSAIN,4229
CARRACEDO,4219
PANADERO,4211
PLATA,4208
GRANERO,4202
ALMAZAN,4200
PLANA,4200
VILLARREAL,4198
CASTEJON,4196
DE PAZ,4194
CARAVACA,4193
MACHO,4184
BAZAN,4174
MANJON,4174
SOTELO,4171
MULERO,4170
ROCAMORA,4170
MARIA,4164
FORTES,4156
AMARO,4152
CARBO,4151
PRADAS,4149
TORNERO,4143
ARREGUI,4142
ASENCIO,4137
CANTON,4137
BARON,4130
ROSILLO,4127
ALCON,4123
SEDANO,4121
TRINIDAD,4118
CASTELL,4117
MOLINER,4116
GONZALES,4115
BARCO,4108
MACHIN,4104
VILAS,4096
CALZADO,4084
TEBAR,4083
GANDIA,4076
VENEGAS,4072
MIRAS,4070
ROMANO,4067
ARGUELLES,4061
DURA,4056
TERAN,4052
ROSARIO,4037
AGUAYO,4027
SMITH,4023
CAMPAÑA,4022
CORONEL,4022
FELIX,4020
LOUREIRO,4018
TORRIJOS,4013
LLEDO,4000
ROQUE,3992
ROSAS,3971
DE PEDRO,3969
VIGO,3966
CANAL,3965
CUTILLAS,3965
CUARTERO,3964
ARMENGOL,3963
CONEJERO,3961
RIVEIRO,3961
ESCAMILLA,3960
TEIXEIRA,3958
PARRAS,3955
ARTILES,3954
IVANOVA,3954
FABREGAT,3949
IVANOV,3948
MANGAS,3936
SALVATIERRA,3931
COLOM,3928
DEL BARRIO,3928
SENDRA,3926
QUINTAS,3923
JAUREGUI,3923
CANALS,3923
IÑIGUEZ,3922
COZAR,3908
SEIJAS,3905
MONFORT,3905
MENGUAL,3903
TORRECILLAS,3903
PEDRERO,3901
OLLER,3901
VILARIÑO,3900
FERRI,3897
PANTOJA,3894
NICOLAU,3894
BARRENA,3893
VARO,3890
ABADIA,3888
